size,similarite,recall,precision
1,0.05,0.28846153846153844,0.06119887916521043
1,0.1,0.28846153846153844,0.06119887916521043
1,0.15,0.28846153846153844,0.06119887916521043
1,0.05,0.06119887916521043,0.28846153846153844
1,0.1,0.06119887916521043,0.28846153846153844
1,0.15,0.06119887916521043,0.28846153846153844
1,0.2,0.06119887916521043,0.28846153846153844
1,0.25,0.060557853524184795,0.2692307692307692
1,0.3,0.058343784698273865,0.23076923076923078
1,0.35,0.04968993854442771,0.19230769230769232
1,0.4,0.04968993854442771,0.19230769230769232
1,0.45,0.044433017962429724,0.09615384615384616
1,0.5,0.04058686411627588,0.07692307692307693
2,0.05,0.08249550575902397,0.25961538461538464
2,0.1,0.08249550575902397,0.25961538461538464
2,0.15,0.08249550575902397,0.25961538461538464
2,0.2,0.08249550575902397,0.27884615384615385
2,0.25,0.07544422370774191,0.25961538461538464
2,0.3,0.0693677344075684,0.2403846153846154
2,0.35,0.05304075439524357,0.15384615384615385
2,0.4,0.05143819029267945,0.16346153846153846
2,0.45,0.044433017962429724,0.08653846153846154
2,0.5,0.04058686411627588,0.07692307692307693
3,0.05,0.09869879159773204,0.23717948717948723
3,0.1,0.09869879159773204,0.23717948717948723
3,0.15,0.09869879159773204,0.23717948717948723
3,0.2,0.09798654088548132,0.25961538461538464
3,0.25,0.08980403711474225,0.25641025641025644
3,0.3,0.07862848021550115,0.2371794871794872
3,0.35,0.05565546424679552,0.1474358974358974
3,0.4,0.052450336041667316,0.16346153846153846
3,0.45,0.044433017962429724,0.08653846153846154
3,0.5,0.04058686411627588,0.07692307692307693
4,0.05,0.12176908611597269,0.25
4,0.1,0.12176908611597269,0.25
4,0.15,0.12176908611597269,0.2516025641025641
4,0.2,0.11992279502549558,0.27403846153846156
4,0.25,0.10282720679020146,0.26282051282051283
4,0.3,0.08001769987097467,0.22435897435897434
4,0.35,0.057044683902269036,0.14903846153846154
4,0.4,0.052450336041667316,0.16346153846153846
4,0.45,0.044433017962429724,0.08653846153846154
4,0.5,0.04058686411627588,0.07692307692307693
5,0.05,0.12783687673960992,0.22307692307692298
5,0.1,0.12783687673960992,0.22307692307692298
5,0.15,0.12783687673960992,0.22564102564102556
5,0.2,0.12527833493688206,0.2548076923076923
5,0.25,0.10529973426272893,0.24935897435897436
5,0.3,0.08249022734350213,0.2205128205128205
5,0.35,0.057044683902269036,0.14711538461538462
5,0.4,0.052450336041667316,0.16346153846153846
5,0.45,0.044433017962429724,0.08653846153846154
5,0.5,0.04058686411627588,0.07692307692307693
6,0.05,0.1336314842686694,0.2083333333333333
6,0.1,0.1336314842686694,0.2083333333333333
6,0.15,0.1336314842686694,0.21217948717948715
6,0.2,0.12841912370635356,0.24070512820512818
6,0.25,0.1056768081692146,0.23910256410256409
6,0.3,0.08249022734350213,0.21346153846153845
6,0.35,0.057044683902269036,0.14711538461538462
6,0.4,0.052450336041667316,0.16346153846153846
6,0.45,0.044433017962429724,0.08653846153846154
6,0.5,0.04058686411627588,0.07692307692307693
7,0.05,0.1347627059881264,0.18131868131868137
7,0.1,0.1347627059881264,0.18131868131868137
7,0.15,0.1347627059881264,0.18699633699633705
7,0.2,0.12955034542581056,0.22330586080586085
7,0.25,0.1056768081692146,0.23040293040293036
7,0.3,0.08249022734350213,0.2107142857142857
7,0.35,0.057044683902269036,0.14711538461538462
7,0.4,0.052450336041667316,0.16346153846153846
7,0.45,0.044433017962429724,0.08653846153846154
7,0.5,0.04058686411627588,0.07692307692307693
8,0.05,0.14010099559763267,0.17548076923076922
8,0.1,0.14010099559763267,0.17548076923076922
8,0.15,0.14010099559763267,0.1825320512820513
8,0.2,0.13371192712783972,0.22227564102564099
8,0.25,0.10660333262515083,0.22868589743589743
8,0.3,0.08249022734350213,0.2100274725274725
8,0.35,0.057044683902269036,0.14711538461538462
8,0.4,0.052450336041667316,0.16346153846153846
8,0.45,0.044433017962429724,0.08653846153846154
8,0.5,0.04058686411627588,0.07692307692307693
9,0.05,0.16131181045702764,0.1773504273504273
9,0.1,0.16131181045702764,0.1773504273504273
9,0.15,0.1589969956422128,0.1830662393162393
9,0.2,0.14362414135039872,0.22174145299145298
9,0.25,0.10944216046397866,0.22788461538461538
9,0.3,0.08249022734350213,0.2100274725274725
9,0.35,0.057044683902269036,0.14711538461538462
9,0.4,0.052450336041667316,0.16346153846153846
9,0.45,0.044433017962429724,0.08653846153846154
9,0.5,0.04058686411627588,0.07692307692307693
10,0.05,0.1690284305934167,0.17307692307692307
10,0.1,0.1690284305934167,0.17329059829059829
10,0.15,0.16464200852406782,0.177724358974359
10,0.2,0.14586773109398848,0.21789529914529918
10,0.25,0.10944216046397866,0.2251068376068376
10,0.3,0.08249022734350213,0.2100274725274725
10,0.35,0.057044683902269036,0.14711538461538462
10,0.4,0.052450336041667316,0.16346153846153846
10,0.45,0.044433017962429724,0.08653846153846154
10,0.5,0.04058686411627588,0.07692307692307693
11,0.05,0.1690284305934167,0.15734265734265732
11,0.1,0.1690284305934167,0.15790598290598282
11,0.15,0.16464200852406782,0.16461247086247083
11,0.2,0.14586773109398848,0.2112519425019425
11,0.25,0.10944216046397866,0.22370823620823618
11,0.3,0.08249022734350213,0.2100274725274725
11,0.35,0.057044683902269036,0.14711538461538462
11,0.4,0.052450336041667316,0.16346153846153846
11,0.45,0.044433017962429724,0.08653846153846154
11,0.5,0.04058686411627588,0.07692307692307693
12,0.05,0.17469261934584074,0.14903846153846148
12,0.1,0.17469261934584074,0.14989316239316233
12,0.15,0.17030619727649185,0.15849358974358976
12,0.2,0.14971388494014232,0.20804681429681426
12,0.25,0.1132883143101325,0.2251651126651127
12,0.3,0.08249022734350213,0.2100274725274725
12,0.35,0.057044683902269036,0.14711538461538462
12,0.4,0.052450336041667316,0.16346153846153846
12,0.45,0.044433017962429724,0.08653846153846154
12,0.5,0.04058686411627588,0.07692307692307693
13,0.05,0.18831795393937345,0.150887573964497
13,0.1,0.18831795393937345,0.15211209730440498
13,0.15,0.1832192811577738,0.16071252465483235
13,0.2,0.14971388494014232,0.20484168609168607
13,0.25,0.1132883143101325,0.22491856434164126
13,0.3,0.08249022734350213,0.2100274725274725
13,0.35,0.057044683902269036,0.14711538461538462
13,0.4,0.052450336041667316,0.16346153846153846
13,0.45,0.044433017962429724,0.08653846153846154
13,0.5,0.04058686411627588,0.07692307692307693
14,0.05,0.1977834884049079,0.14697802197802196
14,0.1,0.1977834884049079,0.148519536019536
14,0.15,0.19076173870023133,0.15733129050436745
14,0.2,0.15201158723784464,0.2050530132260901
14,0.25,0.1132883143101325,0.22491856434164126
14,0.3,0.08249022734350213,0.2100274725274725
14,0.35,0.057044683902269036,0.14711538461538462
14,0.4,0.052450336041667316,0.16346153846153846
14,0.45,0.044433017962429724,0.08653846153846154
14,0.5,0.04058686411627588,0.07692307692307693
15,0.05,0.2028215445275024,0.1435897435897436
15,0.1,0.2028215445275024,0.14540598290598292
15,0.15,0.19579979482282586,0.15586608903916602
15,0.2,0.15322416776077,0.2052361634092403
15,0.25,0.1132883143101325,0.22491856434164126
15,0.3,0.08249022734350213,0.2100274725274725
15,0.35,0.057044683902269036,0.14711538461538462
15,0.4,0.052450336041667316,0.16346153846153846
15,0.45,0.044433017962429724,0.08653846153846154
15,0.5,0.04058686411627588,0.07692307692307693
16,0.05,0.20734306467402258,0.13822115384615385
16,0.1,0.20734306467402258,0.14027777777777775
16,0.15,0.19911939189242298,0.15137890955198646
16,0.2,0.15322416776077,0.2029925736656506
16,0.25,0.1132883143101325,0.22491856434164126
16,0.3,0.08249022734350213,0.2100274725274725
16,0.35,0.057044683902269036,0.14711538461538462
16,0.4,0.052450336041667316,0.16346153846153846
16,0.45,0.044433017962429724,0.08653846153846154
16,0.5,0.04058686411627588,0.07692307692307693
17,0.05,0.21177725134505135,0.13461538461538455
17,0.1,0.21177725134505135,0.13688411261940667
17,0.15,0.20284132785120107,0.1493285701854706
17,0.2,0.15497241950902174,0.20214415737605781
17,0.25,0.1132883143101325,0.22491856434164126
17,0.3,0.08249022734350213,0.2100274725274725
17,0.35,0.057044683902269036,0.14711538461538462
17,0.4,0.052450336041667316,0.16346153846153846
17,0.45,0.044433017962429724,0.08653846153846154
17,0.5,0.04058686411627588,0.07692307692307693
18,0.05,0.21730423860280784,0.13247863247863242
18,0.1,0.21730423860280784,0.13493589743589737
18,0.15,0.20691641942629263,0.1483230397681755
18,0.2,0.15744494698154923,0.20245838563146254
18,0.25,0.1132883143101325,0.22491856434164126
18,0.3,0.08249022734350213,0.2100274725274725
18,0.35,0.057044683902269036,0.14711538461538462
18,0.4,0.052450336041667316,0.16346153846153846
18,0.45,0.044433017962429724,0.08653846153846154
18,0.5,0.04058686411627588,0.07692307692307693
19,0.05,0.22048119461952043,0.1285425101214575
19,0.1,0.22048119461952043,0.13128092667566355
19,0.15,0.21009337544300521,0.14759204561612876
19,0.2,0.16062190299826185,0.2038079132967797
19,0.25,0.1132883143101325,0.22491856434164126
19,0.3,0.08249022734350213,0.2100274725274725
19,0.35,0.057044683902269036,0.14711538461538462
19,0.4,0.052450336041667316,0.16346153846153846
19,0.45,0.044433017962429724,0.08653846153846154
19,0.5,0.04058686411627588,0.07692307692307693
20,0.05,0.22903387094407995,0.12499999999999994
20,0.1,0.22903387094407995,0.12799145299145293
