queryId,docId
1,2319
1,1572
1,2365
1,2087
1,2868
1,1844
1,2740
1,1304
1,2424
1,796
1,197
1,294
1,1264
1,2054
1,866
1,98
1,2321
1,398
1,585
1,2372
1,971
1,2796
10,1795
10,1470
10,392
10,141
10,1138
10,1158
10,651
10,1142
10,3075
10,762
10,463
10,1102
10,1485
10,2650
10,2342
10,1466
10,920
10,2896
11,2699
11,1470
11,2717
11,3148
11,2906
12,2319
12,1461
12,2972
12,2372
12,3068
13,195
13,1807
14,307
15,1807
15,2836
15,2611
15,2835
15,1231
15,2464
15,2344
15,1974
15,1947
15,2904
16,2319
16,2740
16,1461
16,394
16,1950
17,195
17,1807
18,195
18,1795
18,2685
18,2266
18,2897
19,3075
19,270
19,392
19,141
20,349
20,285
20,315
21,2337
21,3007
21,270
22,2188
23,72
23,270
24,412
24,268
25,2319
25,436
25,1938
25,1653
25,1341
25,2318
25,2188
25,819
26,2319
26,1461
26,2972
26,2372
27,2319
27,2864
27,1959
27,1461
27,1456
27,2852
27,2972
27,155
28,757
28,2890
28,1928
29,2089
29,2770
29,804
29,2462
29,1537
3,929
3,2066
3,1470
3,51
30,2319
30,25
30,18
30,1256
30,1341
30,651
30,1012
30,238
31,2370
32,1839
32,2461
32,2161
32,2490
32,1504
32,2790
32,1481
32,2172
32,2430
32,3139
32,2934
32,2619
32,1961
32,2444
32,2177
33,1104
33,2325
35,1474
36,2110
36,1012
36,3094
37,2956
37,2265
37,2341
37,676
37,2937
37,2835
37,2651
37,2859
37,2243
37,2244
37,251
38,2956
38,2958
38,2356
39,2956
39,1470
39,2958
39,1002
39,3031
39,2341
39,1463
39,2651
39,1485
39,3105
40,1470
40,2956
40,1485
40,2341
40,1138
40,651
40,1142
40,762
40,463
40,1102
40,1466
40,920
40,2814
40,628
40,2931
40,2651
40,3106
40,793
40,627
40,1324
40,2957
40,1463
40,2645
40,2192
41,2578
41,3137
41,3043
41,2435
41,3148
42,436
42,1870
42,2319
42,633
42,204
42,1938
42,462
42,2370
43,2569
43,3107
44,2829
45,2318
45,2319
45,2452
46,1457
46,1032
46,634
46,651
46,329
46,1938
46,2070
46,275
46,675
46,2711
47,2070
47,275
47,634
47,651
47,2114
47,239
47,3134
47,292
47,2318
47,3012
47,1515
47,675
47,2516
47,1032
47,2990
47,1935
47,2319
47,1457
47,2999
48,1601
49,651
49,1959
49,652
49,239
49,1032
49,634
49,2070
49,275
49,2319
49,25
49,987
49,1514
49,18
49,1341
49,3012
49,1012
49,292
49,238
5,2629
5,1749
5,1395
50,634
50,651
50,2070
50,275
50,1457
50,292
50,2114
50,675
50,392
50,141
51,3075
51,2022
51,392
51,270
51,2085
51,141
52,1870
52,757
52,238
52,1207
52,1208
53,139
53,514
53,569
54,1470
54,2842
54,1471
54,2958
54,3198
54,1485
54,2295
54,822
54,2148
54,394
54,2178
54,1138
54,1496
55,2650
55,1739
55,1355
55,1896
55,1898
55,1993
55,2921
56,2650
56,55
56,2931
56,1470
57,3077
57,2705
58,1698
59,292
59,1313
6,1543
61,2070
61,239
61,2114
61,2711
61,634
61,651
62,2337
62,3007
63,3075
63,1795
63,1601
63,392
63,141
63,270
63,1158
63,3061
63,2433
64,2651
7,270
7,3043
7,1623
8,2319
8,492
8,2830
8,2625
8,615
8,1928
8,1461
9,2319
9,2372
9,3068
9,1461
9,1032
9,25
9,2578
9,18
9,1462
9,2320
9,2972
9,1928
9,1341
9,651
9,3137
